#,Company name,Job,Technology or skill
41,Spin Virtual Solutions Inc,Android developer,Communication
42,Venturay,Android developer,UI
42,Venturay,Android developer,leadership
42,Venturay,Android developer,stability
42,Venturay,Android developer,performance
42,Venturay,Android developer,Design
42,Venturay,Android developer,Agile
42,Venturay,Android developer,prototyping
42,Venturay,Android developer,CI/CD
42,Venturay,Android developer,CORE JAVA
42,Venturay,Android developer,JAVA 
42,Venturay,Android developer,Object oriented design principles
42,Venturay,Android developer,Design Patterns
42,Venturay,Android developer,SqLite
42,Venturay,Android developer,AppData
42,Venturay,Android developer,Bitbucket
42,Venturay,Android developer,Git
42,Venturay,Android developer,Jira
42,Venturay,Android developer,TDD
42,Venturay,Android developer,BDD
42,Venturay,Android developer,Creative
42,Venturay,Android developer,communication 
43,Carecone Pty. Ltd.,Android developer,Kotlin
43,Carecone Pty. Ltd.,Android developer,communication
43,Carecone Pty. Ltd.,Android developer,MVVM
43,Carecone Pty. Ltd.,Android developer,Clean Architecture
43,Carecone Pty. Ltd.,Android developer,SOLID
43,Carecone Pty. Ltd.,Android developer,responsiveness
43,Carecone Pty. Ltd.,Android developer,performance
43,Carecone Pty. Ltd.,Android developer,Accessibility
43,Carecone Pty. Ltd.,Android developer,UI
43,Carecone Pty. Ltd.,Android developer,Android Studio
43,Carecone Pty. Ltd.,Android developer,Gradle
43,Carecone Pty. Ltd.,Android developer,Coroutines
43,Carecone Pty. Ltd.,Android developer,Flow
43,Carecone Pty. Ltd.,Android developer,Room
43,Carecone Pty. Ltd.,Android developer,unit testing
43,Carecone Pty. Ltd.,Android developer,development best practices
43,Carecone Pty. Ltd.,Android developer,security
44,Publicis Groupe,Senior Developer Mobile Solutions Android,robustness
44,Publicis Groupe,Senior Developer Mobile Solutions Android,UI
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Component Design
44,Publicis Groupe,Senior Developer Mobile Solutions Android,unit tests
44,Publicis Groupe,Senior Developer Mobile Solutions Android,debugging
44,Publicis Groupe,Senior Developer Mobile Solutions Android,bug fixes
44,Publicis Groupe,Senior Developer Mobile Solutions Android,development best practices
44,Publicis Groupe,Senior Developer Mobile Solutions Android,communication
44,Publicis Groupe,Senior Developer Mobile Solutions Android,problem-solving
44,Publicis Groupe,Senior Developer Mobile Solutions Android,multi-task
44,Publicis Groupe,Senior Developer Mobile Solutions Android,work independently
44,Publicis Groupe,Senior Developer Mobile Solutions Android,performance
44,Publicis Groupe,Senior Developer Mobile Solutions Android,4+
44,Publicis Groupe,Senior Developer Mobile Solutions Android,"android concepts such as Activity, Fragments"
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Android lifecycle
44,Publicis Groupe,Senior Developer Mobile Solutions Android,networking
44,Publicis Groupe,Senior Developer Mobile Solutions Android,caching
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Object-Oriented Programming
44,Publicis Groupe,Senior Developer Mobile Solutions Android,data structures
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Releasing android apps to google play store 
44,Publicis Groupe,Senior Developer Mobile Solutions Android,design patterns
44,Publicis Groupe,Senior Developer Mobile Solutions Android,Java
44,Publicis Groupe,Senior Developer Mobile Solutions Android,security
44,Publicis Groupe,Senior Developer Mobile Solutions Android,cryptography
