num,Company name,Job,Technology or skill,,
7,TechBlocks,Lead Android Developer,responsiveness,,
7,TechBlocks,Lead Android Developer,user experience,,
7,TechBlocks,Lead Android Developer,CI/CD,,
7,TechBlocks,Lead Android Developer,Jenkins,,
7,TechBlocks,Lead Android Developer,BitBucket,,
7,TechBlocks,Lead Android Developer,automated testing,,
7,TechBlocks,Lead Android Developer,debugging,,
7,TechBlocks,Lead Android Developer,Postman,,
7,TechBlocks,Lead Android Developer,UI/UX,,
7,TechBlocks,Lead Android Developer,mentorship,,
7,TechBlocks,Lead Android Developer,up-to-date with emerging trends,,
7,TechBlocks,Lead Android Developer,problem-solving,,
7,TechBlocks,Lead Android Developer,maintainability,,
7,TechBlocks,Lead Android Developer,collaboration,,
7,TechBlocks,Lead Android Developer,communication,,
8,KeyRetouch,Android App Developer,Java,,
8,KeyRetouch,Android App Developer,Android SDK,,
8,KeyRetouch,Android App Developer,HTML,,
8,KeyRetouch,Android App Developer,JavaScript,,
8,KeyRetouch,Android App Developer,CSS,,
8,KeyRetouch,Android App Developer,IOS,,
8,KeyRetouch,Android App Developer,Android studio,,
8,KeyRetouch,Android App Developer,Java Development Kit (JDK),,
8,KeyRetouch,Android App Developer,JSON,,
8,KeyRetouch,Android App Developer,Xcode,,
8,KeyRetouch,Android App Developer,cocoa,,
8,KeyRetouch,Android App Developer,push cocoa framework,,
8,KeyRetouch,Android App Developer,push notifications,,
9,Sybels,ANDROID DEVELOPER,1+,,
9,Sybels,ANDROID DEVELOPER,Releasing or publishing android apps to google play store,,
9,Sybels,ANDROID DEVELOPER,Android SDK,,
9,Sybels,ANDROID DEVELOPER,Java,,
9,Sybels,ANDROID DEVELOPER,web services,,
9,Sybels,ANDROID DEVELOPER,API integration,,
9,Sybels,ANDROID DEVELOPER,Rest Services,,
9,Sybels,ANDROID DEVELOPER,Cloud infrastructure,,
10,Acme Services,ANDROID DEVELOPER,2+,,
10,Acme Services,ANDROID DEVELOPER,Kotlin,,
10,Acme Services,ANDROID DEVELOPER,Java,,
10,Acme Services,ANDROID DEVELOPER,Android studio,,
10,Acme Services,ANDROID DEVELOPER,Design Pattern,,
10,Acme Services,ANDROID DEVELOPER,MVC,,
10,Acme Services,ANDROID DEVELOPER,MVVM,,
10,Acme Services,ANDROID DEVELOPER,MVP,,
10,Acme Services,ANDROID DEVELOPER,JSON,,
10,Acme Services,ANDROID DEVELOPER,REST API,,
10,Acme Services,ANDROID DEVELOPER,analytical skills,,
10,Acme Services,ANDROID DEVELOPER,debugging,,
10,Acme Services,ANDROID DEVELOPER,Git,,
10,Acme Services,ANDROID DEVELOPER,JIRA,,
10,Acme Services,ANDROID DEVELOPER,unit test,,
10,Acme Services,ANDROID DEVELOPER,Releasing or publishing android apps to google play store,,
10,Acme Services,ANDROID DEVELOPER,Jenkins,,
10,Acme Services,ANDROID DEVELOPER,Sonar Cube,,
11,Haystek Technologies,Sr Android Developer,requirements analysis,,
11,Haystek Technologies,Sr Android Developer,estimate development effort,,
11,Haystek Technologies,Sr Android Developer,Design,,
11,Haystek Technologies,Sr Android Developer,collaboration,,
11,Haystek Technologies,Sr Android Developer,unit testing,,
11,Haystek Technologies,Sr Android Developer,robustness,,
11,Haystek Technologies,Sr Android Developer,usability,,
11,Haystek Technologies,Sr Android Developer,reliability,,
11,Haystek Technologies,Sr Android Developer,bug fixes,,
11,Haystek Technologies,Sr Android Developer,performance,,
11,Haystek Technologies,Sr Android Developer,discover new technologies,,
11,Haystek Technologies,Sr Android Developer,4+,,
11,Haystek Technologies,Sr Android Developer,Java,,
11,Haystek Technologies,Sr Android Developer,Kotlin,,
11,Haystek Technologies,Sr Android Developer,implementation,,
11,Haystek Technologies,Sr Android Developer,"Android Architecture,",,
11,Haystek Technologies,Sr Android Developer,Android SDK,,
11,Haystek Technologies,Sr Android Developer,Android Studio,,
11,Haystek Technologies,Sr Android Developer,Debugging,,
11,Haystek Technologies,Sr Android Developer,coding standards,,
11,Haystek Technologies,Sr Android Developer,Android SDK,,
11,Haystek Technologies,Sr Android Developer,VIPER,,
11,Haystek Technologies,Sr Android Developer,MVVM,,
11,Haystek Technologies,Sr Android Developer,RxJava,,
11,Haystek Technologies,Sr Android Developer,RxKotlin,,
11,Haystek Technologies,Sr Android Developer,Dependency Injection,,
11,Haystek Technologies,Sr Android Developer,flow,,
11,Haystek Technologies,Sr Android Developer,RESTful APIs,,
11,Haystek Technologies,Sr Android Developer,integrating back-end services,,
11,Haystek Technologies,Sr Android Developer,UI Design,,
11,Haystek Technologies,Sr Android Developer,Releasing or publishing android apps to google play store,,
11,Haystek Technologies,Sr Android Developer,Offline & online data storage,,
11,Haystek Technologies,Sr Android Developer,collaboration,,
12,Zeller,Android Engineer,4+,,
12,Zeller,Android Engineer,requirements analysis,,
12,Zeller,Android Engineer,design,,
12,Zeller,Android Engineer,testing,,
12,Zeller,Android Engineer,deployment,,
12,Zeller,Android Engineer,Kotlin,,
12,Zeller,Android Engineer,rxJava,,
12,Zeller,Android Engineer,Coroutines,,
12,Zeller,Android Engineer,dependency injection,,
12,Zeller,Android Engineer,Dagger,,
12,Zeller,Android Engineer,GraphQL,,
12,Zeller,Android Engineer,communication,,
12,Zeller,Android Engineer,collaboration,,
13,Allengers Infotech,Android App Developer,4+,,
13,Allengers Infotech,Android App Developer,Designing,,
13,Allengers Infotech,Android App Developer,developing,,
13,Allengers Infotech,Android App Developer,Flutter,,
