,Company name,Job,Technology or skill,Date
10,Geo20,Lead Android Engineer,Prototyping,24/08/2024
10,Geo20,Lead Android Engineer,Kotlin,24/08/2024
10,Geo20,Lead Android Engineer,Java,24/08/2024
10,Geo20,Lead Android Engineer,unit testing,24/08/2024
10,Geo20,Lead Android Engineer,UI testing,24/08/2024
10,Geo20,Lead Android Engineer,Junit,24/08/2024
10,Geo20,Lead Android Engineer,Espresso,24/08/2024
10,Geo20,Lead Android Engineer,Android best practices,24/08/2024
10,Geo20,Lead Android Engineer,design guidelines,24/08/2024
10,Geo20,Lead Android Engineer,algorithms,24/08/2024
10,Geo20,Lead Android Engineer,data structures,24/08/2024
10,Geo20,Lead Android Engineer,ARCore,24/08/2024
10,Geo20,Lead Android Engineer,OpenGL,24/08/2024
10,Geo20,Lead Android Engineer,3D technologies,24/08/2024
10,Geo20,Lead Android Engineer,location-based technologies,24/08/2024
10,Geo20,Lead Android Engineer,Python,24/08/2024
10,Geo20,Lead Android Engineer,C++,24/08/2024
10,Geo20,Lead Android Engineer,Collaboration,24/08/2024
10,Geo20,Lead Android Engineer,testability,24/08/2024
10,Geo20,Lead Android Engineer,teamwork,24/08/2024
10,Geo20,Lead Android Engineer,A passion for teaching,24/08/2024
10,Geo20,Lead Android Engineer,UX,24/08/2024
11,Veritone,Senior Android Engineer,TDD,19/08/2024
11,Veritone,Senior Android Engineer,BDD,19/08/2024
11,Veritone,Senior Android Engineer,creative,19/08/2024
11,Veritone,Senior Android Engineer,collaboration,19/08/2024
11,Veritone,Senior Android Engineer,scalability,19/08/2024
11,Veritone,Senior Android Engineer,maintainablility,19/08/2024
11,Veritone,Senior Android Engineer,iOS,19/08/2024
11,Veritone,Senior Android Engineer,teamwork,19/08/2024
11,Veritone,Senior Android Engineer,user experience,19/08/2024
11,Veritone,Senior Android Engineer,Debugging,19/08/2024
11,Veritone,Senior Android Engineer,code review,19/08/2024
11,Veritone,Senior Android Engineer,performance,19/08/2024
11,Veritone,Senior Android Engineer,responsiveness,19/08/2024
